Date,Title,Summary
2023/02/22,Hotz egiten dut dioen artista,"Ibai Maritxalarrek Bilbon Aire galerian ""Hotz egiten dut"" pintura erakusketa du, kolore beroez."
2023/02/23,Puzgarriak artelan,"Jone Elorriagak ""Puzgarriak: gorri eta larrosa"" erakusketa du Bilbon."
2023/02/15,"Aintzane Erkizia: ""Kultura guztietan lauak eta karratuak harreman zuzena dauka lurrarekin eta gizakiarekin""",Lau zenbakiak eta karratuek presentzia handia izan dute artearen historian.
2023/02/16,"Miroren errealismo magikotik ""Konstelazioetarako"" bidaia, Guggenheimen","""Joan Miró. Errealitate absolutua. Paris, 1920-1945"" erakusketa aurkeztu du gaur Bilboko museoak, kataluniar margolariaren ibilbidearen 25 urteri buruz."
2023/02/14,"Maite Luengo: ""Estetika inozenteak ez du esan nahi atzetik hausnarketarik ez dagoenik""",Naif arteari buruz egin dugu solas aste honetan.
2023/02/15,Artea ulertzeko moduak,"Azpeitiko leihoetatik hasita, La Kontenedorara egin dugu bisita eta Voguing ikastaroei buruz aritu gara. Hortaz gain, une honetan puri-purian dauden moda asteei buruz hitz egin dugu baita ere."
2023/02/09,Rosa Valverderen artea gordetzen duen album ilustratua,"Rosa Valverde artista zenaren lanera hurreratzeko liburu bat kaleratu du Pamiela argitaletxeak. Maialen Lujanbiok idatzi, eta Arrate Rodriguezek ilustratu du."
2023/02/09,Eusko Jaurlaritzak 26 euskal artista garaikideren lanak erosi ditu,"Kultura Sailak 200.000 euroko dirulaguntza bideratu du bizirik dauden euskal artisten lana erostera: Nora Aurrekoetxea, Esther Ferrer, Jose Antonio Sistiaga, Elena Goñi, Laida Lertxundi, Txuspo Poyo, Damaris Pan..."
2023/02/07,"Aintzane Erkizia: ""Irudi erlijiosoek gauza asko kontatzen dizkigute""",Eliza erromanikoetako iruditeriak garai bateko gizartea nolakoa zen erakusten digu.
2023/02/08,Ukitzeko Artea programako obra berri bat aurkeztu du Arte Ederren Bilboko Museoak,"""Emakumea eserita"" María Blanchard (Santander, 1881-Paris, 1932) lapurtar jatorriko artistaren lana gehitu dute ikusmen urritasuna duten pertsonei arteaz gozatzeko aukera eskura jartzen dien programara."
2023/02/02,"Eduardo Chillida Fundazioak artistaren obra zabaldu eta ospatuko du, beraren jaiotzaren mendeurrenean","2024ko urtarrilaren 10ean Eduardo Chillidaren jaiotzaren mendeurrena izango da, eta gipuzkoar artistaren familiak beraren obraren inguruko ezagutzan sakondu nahi du: erakusketak, dokumental bat, katalogo arrazoituaren zenbaki berri bat…"
2023/02/03,Zazpi erakusketa handi hartuko ditu Guggenheimek 2023an,"Bilboko museoak aurtengo erakusketa programa aurkeztu du: Joan Miró, Kokoschka, Picassoren eskultura..."
2023/02/01,"Bi eduki sortzaile eta beste horrenbeste kontainer tuneatu, Bilboko San Frantzisko auzoari hauspoa emateko","Esther Saugga eta Nelson Daniel instagramerrek asteburua pasako dute Cantalojas parean jarritako edukiontzietan, auzoaren kultura aberastasuna aldarrikatzeko asmoz."
2023/02/01,Artearen munduan ematen diren dikotomiak,"Arte Ederrak eta besteak, artea eta artisautza, orijinala eta kopia... artea bitan banatzen duten mugak aztergai Maite Luengo arte historialariarekin."
2023/01/26,"Alejandro Cesarco, Carolina Caycedo, Rafael Lafuente eta Julia Spinola, Artiumen aurtengo erakusketetan","Gainera, Sahatsa Jauregi eta Nerea Lekuona duela gutxi bilduman sartu diren artistekin egindako proiektu espezifikoak ere aurkeztuko ditu Gasteizko museoak, baita Esther Ferrer, Alberto Peral, Jose Ramon Ais eta June Crespo artisten lanak ere."
2023/01/26,"""Aire!"" dokumentala, Mauriziaren bideari segika","Ikus-entzunezko lana muntaia fasean dago, eta erakutsiko du hainbat leku eta kulturatako gazte talde batek nola sortzen duen Maruizia Aldaiturriagaren figura eta bizipenetan oinarritutako musika pieza bat."
