sentiment,text
0,arabartzat bezala hartu nauzue arabaren aldeko konpromisoa erakusten saiatu naiz emandako hitza betetzen
1,hezkuntza alineatu industria beharrekin k ez du gure gaurko artikulua irakurri
1,0000nbotoa eska daitekennnik bozkatuko dut eta lehendakari nor den ikusiko dugu
0,1 argi geratu da euskadirentzat proiektu errealista eta zehatza duen bakarra urkullu lehendakaria dela
0,1 hauteskundeetako emaitzak gipuzkoa 000 zba frogaki25 eserlekuak nr0 0npse 0npp 0npfyv 0npacma 0nln 0
1,11 bixotz 11 arrazoi herri eta irri eitteko nondarrun eta orain denon herria
1,11 herrittar 11 arrazoidudaik eztairailan 25in
0,11 herritxar 11 errezoi i25in nire botu eh bildu eh bildu vía
0,11 ikusteko jaioak pseeek euskararen inguruan egindako bideo batek haserrea eta nazka eragin ditu vía
0,11herrittar11errezoinondarrun egin duten bideoa n
-1,13 kanpaina eguneko kronika k hezkuntzaren aldeko apustua egin du enplegua sortzeko
1,1499km amsterdammiribilla irabaztera goaz
1,15 minutu barru iñigo urkullu n web bidez ikusteko play_button
0,150 lagunen artin osatu dou ondarrun mezu egin irrinirailan 25in bozkatu
0,150 pertsona baino gehio eraikitzen 25ean argi dago gure aukera aurrera
0,15159 absoluta
-1,16 auzoz auzo eramaten ari da kanpainia aretan izan dugu
-1,16 eskualdeko ekitaldi nagusia n egin du k ren hitzak
-1,16 k auzoetara eraman du kanpainia aretako ekitaldian izan dugu
-1,1635 aldera sonia gonzalez eta estreinatuko dira tertulian ren bidea euskararen diskurtsoak kanpainan
-1,18 septiembre ada colau pili zabala eta nagua alba donostian
0,1830 eginkizun berri abiaraziko ditugu eta informazio osoa interneten bidez zabalduko dugu bulego konpromisoa
0,18a igandea da
0,1900etan izango dugu villabonako berdura plazan larraitz ugarte ko zerrendakidea izango da berta
1,1979tik ren alde lanean aritutako zenbait udal ordezkarik botoa rentzat eskatu dute
-1,1982ko euskararen legearen ustezko kontsentsua zartarazi du k eta hizkuntza politikei buruz aktore marjinala bihurtu da
0,1989an funtzio publikorako hizkuntza eskakizunak arautu zituena bera izan zela ahaztu bide zaio ri
0,2 batzuk madrilera begira beste batzuk atzera begiratzeko gai ez zabala paperera begira urkullu herritar guztiei begira
0,2 buru eh bildu eta ezker soberanista orain eta historikoki kalean mugimendu sozialekin eta instituzioetan izan da beti
0,2 hauteskundeetako emaitzak araba 000 zba frogaki25 eserlekuak nvox 0nr0 0npse 0npp 0npacma 0noe 0
0,2 hauteskundeetako emaitzak gipuzkoa 000 zba frogaki25 eserlekuak nr0 0npse 0npp 0npfyv 0npacma 0nln 0
0,2 ir191900 herriko plazan laudioko k prestatutako solasaldia ko mugimendu feminista
0,2 urte kolonbian hau ikusi ta oraindik nire buruari galdezka 3 mundua non dagoen batez ere honexeg
0,2 urtetan nola lor daiteke mapa osoa euskaraz eskaintzea guk urteak daramatzagu zenbait espezialista euskaldunen bilauu
1,20 minutu barru lehen rekin cmon
0,20 urte izan dituzue hondarribiko alardearen auzian eskuhartzeko eta ez duzu egin zeozer esateko gai horren inguruan
1,2009an ppk erabili zuen hauteskundeetan euskararen inposizioaren ideia psek hauteskunde batzordean salatu zuen
1,2011 eko udal hauteskundetan ezaba bildu izeneko koalizio batean aurkeztu zenn2016ean eh bildu koalizioanneh bildu≠ezkab
1,2012 abenduaren por supuesto batzuek oraindik euskara profilak jeitsi nahi dituzte
0,2012 abenduaren por supuesto oraindik batzuek euskara profilak jeitsi nshi dituzte milloa zer da
1,20122016 legegintzaldiko diagnostikoa ta eginiko lana oinarri hartutaosasunagure ondasuna bermatzeko bidea marraztu dugu
1,2015eko aurrekontuetan ere ri lehentasuna eman genion
1,2015eko foru bozen estrapolazioa da hau hartu kontuan eajren bozak direla hauek psepp beheraka doazela
0,2016 azken diada autonomikoa 2017 lehenengo kataluniako errepublikako
0,20160921iñigo urkullu berria egunkarian
1,2016ko irailean oraindik osasun zentro eta ospitaletako oharretan euskara baztertuz
0,201819an lehenengo urtean euskaraz bermatzen bada prograsiboki neurriak hartuz legegintzaldi honetan lortu genezake
